intersection_id_osm,latitude,longitude,nb_passages_pietons
6359437469,48.851276,2.1922422,1
6359437472,48.8506945,2.1943928,0
6424651787,48.8428077,2.1900227,0
6437704540,48.8478704,2.1913013,0
6617132787,48.8445494,2.1869476,1
7003207813,48.8442166,2.1855875,2
7003207818,48.8423101,2.1863232,0
7692413992,48.8456664,2.18836,0
7856571444,48.8393376,2.1888804,0
8249786311,48.8520827,2.2056025,1
8249801425,48.8519617,2.2049588,0
9495458898,48.841508,2.19855,2
9497795897,48.8427864,2.199084,2
9498102943,48.8516529,2.1909594,0
9498134737,48.8481161,2.1908155,0
11436451280,48.8458187,2.1877894,0
11436451281,48.8458756,2.1878179,0
12162074708,48.8522679,2.1963491,1
12193940461,48.8386709,2.1866881,0
12193940467,48.8385855,2.18642,2
12193940471,48.8384048,2.1866047,1
12193940476,48.8385895,2.1868131,0
12193940480,48.8386775,2.1865872,1
12193940481,48.8386468,2.1864836,1
12193955503,48.8386294,2.1868782,2
12193955504,48.8387016,2.186768,1
12193955554,48.8379835,2.1687119,2
12500686266,48.845527,2.1883159,0
12943041286,48.8433177,2.1846093,1
12943041289,48.8434717,2.1843902,0
13305322433,48.8415373,2.1988184,0
13305322436,48.8418947,2.1963758,0
13305322437,48.8421238,2.1962379,1
13305322438,48.8419871,2.1961028,0
13305322440,48.8392951,2.1887389,0
13305322441,48.8392242,2.1885031,0
13588951200,48.8415204,2.175467,0
13588974506,48.8414548,2.1767454,0
13588974511,48.8427027,2.1770442,1
13588974569,48.8442936,2.1816351,0
13907583830,48.8413351,2.1795187,1
13907583831,48.8413093,2.1795664,1
13907583832,48.8413377,2.1796349,1
13907583842,48.8413861,2.1795468,1
