intersection_id_osm,latitude,longitude,nb_passages_pietons
158520554,48.8032652,2.1228601,1
158520557,48.8032067,2.1231522,2
158520566,48.802776,2.1212148,2
158520568,48.8024633,2.1223844,3
161395188,48.7963456,2.1374158,3
173864274,48.8078069,2.1458416,0
173865597,48.8081389,2.145837,0
173867639,48.8105906,2.1501919,0
180146308,48.7954518,2.1524215,4
180147195,48.7931947,2.148617,4
180147384,48.7918028,2.1504822,3
180147927,48.7927094,2.1478031,4
180148211,48.7913334,2.1496681,2
180148519,48.7936672,2.149424,4
180148648,48.7922871,2.1513089,2
180154804,48.7952366,2.1467213,0
180155193,48.7952738,2.1449795,0
180155194,48.7946866,2.1460201,4
180155788,48.7947048,2.1442929,2
180155790,48.7941349,2.1453033,3
180157862,48.7935663,2.1428474,3
180211078,48.7931136,2.1527206,4
180211079,48.7945029,2.1508208,2
180213983,48.7921501,2.1525914,0
180213984,48.7926121,2.1533705,4
180220480,48.7985111,2.1621237,1
180220481,48.798331,2.1614836,1
180220483,48.7973581,2.1599624,3
180220484,48.7963636,2.1582683,4
180220485,48.7950339,2.1559771,5
180223553,48.7930788,2.1541692,4
180223554,48.7935507,2.1549813,4
180223555,48.7945193,2.1566342,4
180223556,48.7948125,2.1571431,4
180223557,48.7958625,2.1589357,4
180223558,48.7968617,2.1606332,4
180223559,48.7979566,2.1624798,0
180224038,48.7924373,2.1565263,2
180224040,48.7927946,2.1560335,4
180224041,48.7940565,2.1543277,4
180224042,48.7947531,2.1533838,2
180226863,48.7938049,2.1517775,2
180227134,48.7942769,2.1525726,2
180227137,48.7957434,2.155055,2
180227818,48.7941881,2.1524097,2
180228012,48.7948827,2.151435,2
180232904,48.7964118,2.1543825,2
180241859,48.7955322,2.1503964,0
180241860,48.7948051,2.1513391,1
180243854,48.7937362,2.1576709,2
180244556,48.7962112,2.1545126,1
180244803,48.7963905,2.1557232,1
180245294,48.7950654,2.1600215,2
180245295,48.7968208,2.1576829,0
180246769,48.7944184,2.1590865,3
180248213,48.7962334,2.1614858,1
180248214,48.7967441,2.1621116,2
180248215,48.7973773,2.1628901,1
181321068,48.7932522,2.1568166,2
181321069,48.7923185,2.1552178,4
181321070,48.7918518,2.1544102,4
181321071,48.7913852,2.1535941,4
182651026,48.7890606,2.1524071,0
182651805,48.7892054,2.1535766,0
182651806,48.7894485,2.1536814,0
182651809,48.7899144,2.1533772,0
182656297,48.7897651,2.1546882,0
182657831,48.7905571,2.1545764,1
182664426,48.7957439,2.1608761,2
188616679,48.804952,2.1271794,3
188616685,48.8048141,2.125307,1
188616687,48.8053084,2.1252241,1
188616689,48.805421,2.1258353,0
188616695,48.8064482,2.1263855,2
188639563,48.8096622,2.1240088,7
188639564,48.8087772,2.1239533,0
188639566,48.8085176,2.1248913,2
192864208,48.8027538,2.1456161,3
192864211,48.8072472,2.147164,1
192864976,48.8037708,2.1443276,2
193873558,48.796918,2.1016315,0
193873560,48.7970717,2.1018481,0
193873572,48.8029771,2.1053875,0
193879334,48.8032738,2.1055774,2
193881384,48.8033106,2.1048511,0
193928400,48.801499,2.1204233,2
193931862,48.8011848,2.1215686,3
193936217,48.8012994,2.1254112,2
193937679,48.8014591,2.1257197,0
199082141,48.7988474,2.158704,0
199084238,48.7985588,2.1580229,0
199084260,48.7985222,2.1589754,1
199101814,48.8014571,2.1611747,4
199109173,48.8056169,2.1357304,2
199109627,48.8053372,2.1360281,1
199112585,48.8051864,2.131182,3
199113295,48.8065997,2.1320367,3
199115540,48.8074867,2.128736,1
199118291,48.8096625,2.1254788,1
199118852,48.8095591,2.1253844,1
199120282,48.8079453,2.1452772,3
199120286,48.8095435,2.1256575,0
199120717,48.8129536,2.1358915,0
199121418,48.8106977,2.1261952,0
199121868,48.8099228,2.1340397,1
199122780,48.8122316,2.1354542,2
199122782,48.8131858,2.1276999,2
199123279,48.8090981,2.1311635,0
199123682,48.8126145,2.1322344,2
199124099,48.8091896,2.1300443,0
199124361,48.8128036,2.1306768,2
199125094,48.8108005,2.1345756,2
199125096,48.8116924,2.1267937,4
199125594,48.8129345,2.1295637,3
199125598,48.8092764,2.1289462,0
199126126,48.8115997,2.1276135,3
199126128,48.8094509,2.1267536,1
199127311,48.8093604,2.1278478,1
199127314,48.8115297,2.1282356,3
199127865,48.8120541,2.1305382,1
199127868,48.8115328,2.1350197,1
199128723,48.8124178,2.133794,4
199128725,48.809012,2.1322761,0
199128902,48.8119064,2.1293952,1
199187227,48.7980757,2.153514,2
199188792,48.814215,2.1283112,2
199189185,48.8128091,2.124156,2
199189551,48.8108908,2.124081,3
199189742,48.8120005,2.1241361,2
199189743,48.8118605,2.1253555,3
199190160,48.8108004,2.1250532,3
199190811,48.806808,2.1249962,3
199190813,48.8082468,2.1258755,2
199191570,48.8082282,2.1330289,2
199191875,48.808263,2.125816,1
199191966,48.8087801,2.126147,2
199192282,48.8083721,2.1312315,0
199192284,48.8070236,2.1304626,2
199192996,48.8076763,2.1326953,1
199195393,48.8013584,2.1329971,0
199195394,48.801468,2.1330637,0
201538609,48.7997272,2.0749214,2
201538639,48.8004436,2.0752482,1
201543020,48.8005715,2.074363,1
202549967,48.8019561,2.0881728,0
202549971,48.8020383,2.0874291,0
202549980,48.8020117,2.0871333,0
202549988,48.8018163,2.0866192,0
202588053,48.8010024,2.077876,0
