equipe,coordonnees,intersection,ordre,traversee,nb_traversee_reel,bande_de_guidage,bande_eveil,feu_parlant,commentaire
3,"48.813037968,2.308236108",Rue Jules Chèret / Rue Jules Guesde / Rue Jules Guesde / Rue Jules Chèret,10,2,1,0,2,0,
3,"48.812635394,2.309508522",Rue Jules Guesde / Rue Maurice Arnoux D59 / Rue Molière / Rue Jules Guesde / Rue Molière / Rue Maurice Arnoux D59,11,1,,,,,
3,"48.812635394,2.309508522",Rue Jules Guesde / Rue Maurice Arnoux D59 / Rue Molière / Rue Jules Guesde / Rue Molière / Rue Maurice Arnoux D59,11,2,4,0,8,3,1 feu parlant non fonctionnel
3,"48.813148521,2.309895862",Rue Corneille / Rue Maurice Arnoux D59,12,1,,,,,
3,"48.813148521,2.309895862",Rue Corneille / Rue Maurice Arnoux D59,12,2,1,0,2,0,
3,"48.81498414,2.309241754",Avenue Jean Jaurès / Rue Henri Barbusse / Rue Henri Barbusse / Avenue Jean Jaurès,15,1,,,,,
3,"48.81498414,2.309241754",Avenue Jean Jaurès / Rue Henri Barbusse / Rue Henri Barbusse / Avenue Jean Jaurès,15,2,4,0,8,4,
3,"48.815467706,2.308273871",Rue Arthur Auger / Rue Henri Barbusse / Rue Arthur Auger / Rue Marcel Sembat / Rue Marcel Sembat / Rue Arthur Auger / Rue Marcel Sembat / Rue Henri Barbusse,16,1,,,,,
3,"48.815467706,2.308273871",Rue Arthur Auger / Rue Henri Barbusse / Rue Arthur Auger / Rue Marcel Sembat / Rue Marcel Sembat / Rue Arthur Auger / Rue Marcel Sembat / Rue Henri Barbusse,16,2,,,,,
3,"48.815467706,2.308273871",Rue Arthur Auger / Rue Henri Barbusse / Rue Arthur Auger / Rue Marcel Sembat / Rue Marcel Sembat / Rue Arthur Auger / Rue Marcel Sembat / Rue Henri Barbusse,16,3,,,,,
3,"48.815467706,2.308273871",Rue Arthur Auger / Rue Henri Barbusse / Rue Arthur Auger / Rue Marcel Sembat / Rue Marcel Sembat / Rue Arthur Auger / Rue Marcel Sembat / Rue Henri Barbusse,16,4,,,,,
3,"48.815467706,2.308273871",Rue Arthur Auger / Rue Henri Barbusse / Rue Arthur Auger / Rue Marcel Sembat / Rue Marcel Sembat / Rue Arthur Auger / Rue Marcel Sembat / Rue Henri Barbusse,16,5,,,,,
3,"48.815467706,2.308273871",Rue Arthur Auger / Rue Henri Barbusse / Rue Arthur Auger / Rue Marcel Sembat / Rue Marcel Sembat / Rue Arthur Auger / Rue Marcel Sembat / Rue Henri Barbusse,16,6,4,0,8,2,
3,"48.816157156,2.30878737",Rue Arthur Auger / Avenue Verdier D61,17,1,,,,,
3,"48.816157156,2.30878737",Rue Arthur Auger / Avenue Verdier D61,17,2,2,0,4,0,2 bande éveil abîmé 
3,"48.816218423,2.307047581",Avenue de la Marne / Avenue Verdier D61 / Rue Marcel Sembat / Avenue de la Marne / Rue Marcel Sembat / Avenue Verdier D61,18,1,,,,,
3,"48.816218423,2.307047581",Avenue de la Marne / Avenue Verdier D61 / Rue Marcel Sembat / Avenue de la Marne / Rue Marcel Sembat / Avenue Verdier D61,18,2,,,,,
3,"48.816218423,2.307047581",Avenue de la Marne / Avenue Verdier D61 / Rue Marcel Sembat / Avenue de la Marne / Rue Marcel Sembat / Avenue Verdier D61,18,3,,,,,
3,"48.816218423,2.307047581",Avenue de la Marne / Avenue Verdier D61 / Rue Marcel Sembat / Avenue de la Marne / Rue Marcel Sembat / Avenue Verdier D61,18,4,5,0,8,5,
3,"48.817502273,2.30805937",Avenue de la Marne / Avenue du 12 Février 1934 D61E / Avenue de la Marne / Rue Camille Pelletan / Avenue du 12 Février 1934 D61E / Avenue de la Marne / Avenue du 12 Février 1934 D61E / Avenue Pierre Brossolette D906 / Avenue du 12 Février 1934 D61E / Rue Camille Pelletan / Rue Camille Pelletan / Avenue du 12 Février 1934,19,1,,,,,
3,"48.817502273,2.30805937",Avenue de la Marne / Avenue du 12 Février 1934 D61E / Avenue de la Marne / Rue Camille Pelletan / Avenue du 12 Février 1934 D61E / Avenue de la Marne / Avenue du 12 Février 1934 D61E / Avenue Pierre Brossolette D906 / Avenue du 12 Février 1934 D61E / Rue Camille Pelletan / Rue Camille Pelletan / Avenue du 12 Février 1934,19,2,,,,,
