intersection,latitude,longitude,nb_passages_pietons,latitude_pp1,longitude_pp1,latitude_pp2,longitude_pp2,latitude_pp3,longitude_pp3,latitude_pp4,longitude_pp4,latitude_pp5,longitude_pp5,latitude_pp6,longitude_pp6
798517246,48.7663028,2.3315292,0,,,,,,,,,,,,
798517250 / 1675844808,48.7649946,2.3309153,0,,,,,,,,,,,,
798517258,48.769444,2.3302986,0,,,,,,,,,,,,
798517261,48.7697552,2.3312236,0,,,,,,,,,,,,
798517263,48.7695767,2.332072,0,,,,,,,,,,,,
798517266,48.7693699,2.3329386,0,,,,,,,,,,,,
798517566,48.7660057,2.3285153,0,,,,,,,,,,,,
798534634,48.7685735,2.3325485,0,,,,,,,,,,,,
798534673 / 798534677,48.7684948,2.3317277,0,,,,,,,,,,,,
826649956,48.7686521,2.3221655,0,,,,,,,,,,,,
826649958,48.7681982,2.3240842,2,48.7680082,2.3239868,48.7682157,2.3240086,,,,,,,,
826649960,48.7692394,2.3225477,2,48.7692723,2.322579,48.7692501,2.3225054,,,,,,,,
826649961,48.7669629,2.3197939,1,48.7670067,2.3198179,,,,,,,,,,
826649964,48.7680928,2.3206686,0,,,,,,,,,,,,
826649965,48.7679022,2.3219009,0,,,,,,,,,,,,
826649984,48.766366,2.322325,1,48.7663424,2.3224475,,,,,,,,,,
826649990 / 2400583724,48.7665518,2.321331,0,,,,,,,,,,,,
826650021,48.7710148,2.3240792,1,48.7709859,2.3240071,,,,,,,,,,
919763765 / 6038935379 / 6668518102,48.7696659,2.3188119,0,,,,,,,,,,,,
964887258,48.7761077,2.3247754,0,,,,,,,,,,,,
999434900,48.7772617,2.3250343,0,,,,,,,,,,,,
999434911,48.7777326,2.3265697,0,,,,,,,,,,,,
1025914850,48.7747538,2.3396814,0,,,,,,,,,,,,
1197362629,48.7663021,2.3339043,1,48.76632,2.333819,,,,,,,,,,
1356292012,48.7780747,2.3468666,0,,,,,,,,,,,,
1356292146 / 2457089700 / 2457089702,48.7712198,2.3497203,1,48.7712572,2.3499262,,,,,,,,,,
1356301083,48.7712934,2.3487801,0,,,,,,,,,,,,
1356301119,48.7713665,2.3483491,0,,,,,,,,,,,,
1356301124,48.7719708,2.3446144,0,,,,,,,,,,,,
1674833970,48.772771,2.3509158,0,,,,,,,,,,,,
1680140050,48.7773728,2.3422222,1,48.7773728,2.3422222,,,,,,,,,,
1680140062,48.7759335,2.3430623,1,48.7759335,2.3430623,,,,,,,,,,
1680216488 / 1680216490,48.771585,2.3468758,2,48.7716217,2.3470393,48.7715733,2.3470227,,,,,,,,
1683534133 / 3153743487 / 3282093191 / 7276597636 / 11928454084,48.7759602,2.3305303,2,48.7759868,2.330408,48.7760278,2.3305176,,,,,,,,
1684920862,48.7721746,2.3434645,0,,,,,,,,,,,,
1690166431,48.7787888,2.3611826,0,,,,,,,,,,,,
1690661107,48.7801484,2.3516493,0,,,,,,,,,,,,
1692368501,48.7724867,2.3339245,0,,,,,,,,,,,,
1715871218 / 1715871239,48.7785723,2.3495102,0,,,,,,,,,,,,
1715871228,48.7782669,2.3501813,0,,,,,,,,,,,,
1715877225,48.7782048,2.3430698,3,48.7782098,2.3429272,48.7781823,2.3431446,48.7781854,2.3430557,,,,,,
1720232442,48.7778544,2.335022,1,48.7778544,2.335022,,,,,,,,,,
1720241151,48.7775497,2.3359173,3,48.7775965,2.3359781,48.7775,2.3359957,48.777585,2.3358114,,,,,,
1720251430 / 1786395895 / 1921935686 / 5131676692 / 6308248521,48.7832483,2.3453751,1,48.7831203,2.3452898,,,,,,,,,,
1722620071,48.7880143,2.3428636,0,,,,,,,,,,,,
1787641378,48.7804052,2.35137,0,,,,,,,,,,,,
1793166014,48.767121,2.3310323,0,,,,,,,,,,,,
1805288394,48.7792191,2.328043,3,48.7793174,2.3278554,48.7792698,2.328038,48.77933,2.3278757,,,,,,
1805288396 / 12105311845,48.7803304,2.3250371,0,,,,,,,,,,,,
1809672275,48.7787526,2.3339982,0,,,,,,,,,,,,
1833646284,48.7843638,2.3329998,0,,,,,,,,,,,,
1833978777,48.7822757,2.3357662,0,,,,,,,,,,,,
1833986991,48.7776103,2.331113,2,48.777605,2.3310055,48.777705,2.3311999,,,,,,,,
1833987001,48.7767362,2.3300027,0,,,,,,,,,,,,
1833987033,48.7776427,2.3273876,2,48.7775464,2.3273114,48.7775721,2.3273315,,,,,,,,
1888131027 / 1888131028,48.7844918,2.3471318,0,,,,,,,,,,,,
2106630348,48.7749781,2.3278626,0,,,,,,,,,,,,
2384238258,48.7745312,2.3303752,0,,,,,,,,,,,,
2400583705,48.768485,2.3268036,0,,,,,,,,,,,,
2400789766,48.7659311,2.3265266,0,,,,,,,,,,,,
2457925510 / 2577872046,48.7793023,2.3672076,2,48.779356,2.3670428,48.7793411,2.3670075,,,,,,,,
2558618770,48.7783571,2.3642853,0,,,,,,,,,,,,
2577872037 / 2577872039,48.7791219,2.366463,0,,,,,,,,,,,,
3153743484,48.7759912,2.3300741,1,48.7759912,2.3300741,,,,,,,,,,
3153743494,48.7762217,2.3307526,1,48.7761615,2.3305812,,,,,,,,,,
3282056573 / 3282056574,48.7734087,2.3314493,0,,,,,,,,,,,,
3376500353,48.7828601,2.3398066,0,,,,,,,,,,,,
3451081189,48.780611,2.3360859,0,,,,,,,,,,,,
3880633703,48.7812218,2.3264466,1,48.7811206,2.3265269,,,,,,,,,,
3880633708,48.7819229,2.3258421,1,48.7818515,2.3257954,,,,,,,,,,
3887858424,48.7670522,2.3303321,0,,,,,,,,,,,,
3887873225,48.7807325,2.351014,0,,,,,,,,,,,,
3901381278,48.7759064,2.326294,0,,,,,,,,,,,,
4274867019,48.7707577,2.324667,0,,,,,,,,,,,,
5244199529,48.7763466,2.3242574,2,48.7763179,2.3243208,48.7763533,2.3241009,,,,,,,,
5309141415 / 6219856846,48.7779941,2.3346335,0,,,,,,,,,,,,
5351174511 / 5351174512,48.7831651,2.3412396,0,,,,,,,,,,,,
5503349726,48.7820412,2.3423281,1,48.7820046,2.3423247,,,,,,,,,,
5758559287,48.7667066,2.3257245,0,,,,,,,,,,,,
6285126023,48.7863027,2.3427471,0,,,,,,,,,,,,
6433735069,48.7916264,2.3437753,0,,,,,,,,,,,,
6673844783,48.7788895,2.3376301,1,48.7789286,2.3374141,,,,,,,,,,
6681649436,48.7840913,2.3282665,1,48.7840817,2.3283393,,,,,,,,,,
7026125160,48.7755514,2.3398373,0,,,,,,,,,,,,
8614978705,48.7842781,2.3420293,0,,,,,,,,,,,,
8979962990 / 12752966044,48.7796824,2.3410087,5,48.779612,2.340994,48.7796233,2.3408892,48.7796718,2.3411117,48.7797719,2.3409199,48.7797607,2.3410264,,
9178383991 / 9178383992,48.7810463,2.3323617,0,,,,,,,,,,,,
9665392649,48.780175,2.3531776,0,,,,,,,,,,,,
11198019775 / 11198019780,48.7796928,2.3656352,0,,,,,,,,,,,,
12106881035,48.78248,2.3296831,0,,,,,,,,,,,,
13289552114,48.7775086,2.3332586,0,,,,,,,,,,,,
